packet_id,station_id,rx_timestamp,rx_freq_hz,intensity_db
7be62646,SEN_03,1970-01-01 00:00:01.710999999,94.23915204887172,-12.568145246908186
7be62646,SEN_04,1970-01-01 00:00:01.710999999,94.2502781613128,-11.86409483874687
7be62646,SEN_01,1970-01-01 00:00:01.711000000,94.36473263769338,-12.035116267013429
7be62646,SEN_01,1970-01-01 00:00:01.711000000,91.71069183152694,-40.3892053383159
7be62646,SEN_02,1970-01-01 00:00:01.711000000,94.24019319487668,-11.75387521094987
7be62646,SEN_04,1970-01-01 00:00:01.711000000,91.71069183152694,-41.62245996152133
0c5c32c1,SEN_04,1970-01-01 00:00:01.711000001,91.50128945872316,-39.692319009171264
0c5c32c1,SEN_04,1970-01-01 00:00:01.711000001,93.90610943124716,-10.913984101466802
0c5c32c1,SEN_03,1970-01-01 00:00:01.711000001,93.99741574873936,-11.817685147795505
0c5c32c1,SEN_03,1970-01-01 00:00:01.711000001,91.50128945872316,-39.58922462526577
0c5c32c1,SEN_02,1970-01-01 00:00:01.711000001,93.9046074800742,-11.857150068309538
0c5c32c1,SEN_01,1970-01-01 00:00:01.711000001,91.50128945872316,-40.50191650002687
0c5c32c1,SEN_01,1970-01-01 00:00:01.711000001,94.01326619417254,-12.29386756782456
0c5c32c1,SEN_02,1970-01-01 00:00:01.711000001,91.50128945872316,-42.53952015609815
efa5d4cf,SEN_01,1970-01-01 00:00:01.711000002,93.8778213362953,-11.639449071147578
efa5d4cf,SEN_02,1970-01-01 00:00:01.711000002,93.87634056900292,-12.776757685686958
efa5d4cf,SEN_02,1970-01-01 00:00:01.711000002,91.48310860816288,-42.96553743175437
efa5d4cf,SEN_03,1970-01-01 00:00:01.711000002,93.82241195591922,-12.132115480711215
efa5d4cf,SEN_03,1970-01-01 00:00:01.711000002,91.48310860816288,-43.23528484214392
efa5d4cf,SEN_04,1970-01-01 00:00:01.711000002,93.9847520345332,-11.790442257115036
efa5d4cf,SEN_04,1970-01-01 00:00:01.711000002,91.48310860816288,-38.04021926756116
eea25927,SEN_04,1970-01-01 00:00:01.711000003,94.236504027371,-11.815132778926836
eea25927,SEN_04,1970-01-01 00:00:01.711000003,91.68886123164334,-39.13724522988144
eea25927,SEN_03,1970-01-01 00:00:01.711000003,94.08951861771466,-11.89503130737588
eea25927,SEN_03,1970-01-01 00:00:01.711000003,91.68886123164334,-41.46714766408039
eea25927,SEN_01,1970-01-01 00:00:01.711000003,91.68886123164334,-38.02055076216659
eea25927,SEN_01,1970-01-01 00:00:01.711000003,94.23613392573812,-12.202281601873256
eea25927,SEN_02,1970-01-01 00:00:01.711000003,94.30075634559242,-10.798246250951143
