entry_id,vessel_id,internal_timestamp,propeller_rpm
0,NAUTILUS_01,1970-01-01 00:00:01.711000000,803.2345014130881
1,NAUTILUS_01,1970-01-01 00:00:01.711000001,801.4396239319128
2,NAUTILUS_01,1970-01-01 00:00:01.711000002,801.2837880699674
3,NAUTILUS_01,1970-01-01 00:00:01.711000003,803.0473819855143
4,NAUTILUS_01,1970-01-01 00:00:01.711000005,800.4649727539366
5,NAUTILUS_01,1970-01-01 00:00:01.711000006,800.5746084957806
6,NAUTILUS_01,1970-01-01 00:00:01.711000007,800.6986003631866
7,NAUTILUS_01,1970-01-01 00:00:01.711000008,801.6109014895542
8,NAUTILUS_01,1970-01-01 00:00:01.711000010,801.7705726823993
9,NAUTILUS_01,1970-01-01 00:00:01.711000011,801.5045395844735
10,NAUTILUS_01,1970-01-01 00:00:01.711000012,803.1321574021092
11,NAUTILUS_01,1970-01-01 00:00:01.711000013,802.3737897619254
12,NAUTILUS_01,1970-01-01 00:00:01.711000015,803.0670318627879
13,NAUTILUS_01,1970-01-01 00:00:01.711000016,802.3170865636707
14,NAUTILUS_01,1970-01-01 00:00:01.711000017,804.0120733547172
15,NAUTILUS_01,1970-01-01 00:00:01.711000018,802.0388006889934
16,NAUTILUS_01,1970-01-01 00:00:01.711000020,802.5854680304773
17,NAUTILUS_01,1970-01-01 00:00:01.711000021,802.23850400494
18,NAUTILUS_01,1970-01-01 00:00:01.711000022,802.8863616058921
19,NAUTILUS_01,1970-01-01 00:00:01.711000023,805.3478765301352
20,NAUTILUS_01,1970-01-01 00:00:01.711000025,806.3761677148345
21,NAUTILUS_01,1970-01-01 00:00:01.711000026,804.5789924120899
22,NAUTILUS_01,1970-01-01 00:00:01.711000027,802.7285142525121
23,NAUTILUS_01,1970-01-01 00:00:01.711000028,806.4255224817766
24,NAUTILUS_01,1970-01-01 00:00:01.711000030,804.7585652829104
25,NAUTILUS_01,1970-01-01 00:00:01.711000031,805.1607426402275
26,NAUTILUS_01,1970-01-01 00:00:01.711000032,800.5522080609214
27,NAUTILUS_01,1970-01-01 00:00:01.711000033,806.5749414973816
28,NAUTILUS_01,1970-01-01 00:00:01.711000035,805.8963967700746
29,NAUTILUS_01,1970-01-01 00:00:01.711000036,807.0374880307581
30,NAUTILUS_01,1970-01-01 00:00:01.711000037,806.5123387692822
31,NAUTILUS_01,1970-01-01 00:00:01.711000038,808.0522450737333
32,NAUTILUS_01,1970-01-01 00:00:01.711000040,807.5629385180009
33,NAUTILUS_01,1970-01-01 00:00:01.711000041,807.4780153818077
34,NAUTILUS_01,1970-01-01 00:00:01.711000042,809.1143207475762
35,NAUTILUS_01,1970-01-01 00:00:01.711000043,806.0116680633415
36,NAUTILUS_01,1970-01-01 00:00:01.711000045,807.7331118157266
37,NAUTILUS_01,1970-01-01 00:00:01.711000046,805.8550343921233
38,NAUTILUS_01,1970-01-01 00:00:01.711000047,810.1335448444734
39,NAUTILUS_01,1970-01-01 00:00:01.711000048,809.1527266267951
40,NAUTILUS_01,1970-01-01 00:00:01.711000050,816.1202230217576
41,NAUTILUS_01,1970-01-01 00:00:01.711000051,811.4283236453252
42,NAUTILUS_01,1970-01-01 00:00:01.711000052,809.2045127024265
43,NAUTILUS_01,1970-01-01 00:00:01.711000053,811.940045742825
44,NAUTILUS_01,1970-01-01 00:00:01.711000055,812.417058624806
45,NAUTILUS_01,1970-01-01 00:00:01.711000056,807.8015121271922
46,NAUTILUS_01,1970-01-01 00:00:01.711000057,811.76996699194
47,NAUTILUS_01,1970-01-01 00:00:01.711000058,810.7631673963941
48,NAUTILUS_01,1970-01-01 00:00:01.711000060,813.2153307668422
49,NAUTILUS_01,1970-01-01 00:00:01.711000061,813.7810889451407
